channel x_pos y_pos z_pos
390 -35 -450 -160
391 -35 -445 -160
392 -35 -440 -160
393 -35 -435 -160
394 -35 -430 -160
395 -35 -425 -160
396 -35 -420 -160
397 -35 -415 -160
398 -35 -410 -160
399 -35 -405 -160
400 -35 -400 -160
401 -35 -395 -160
402 -35 -390 -160
403 -35 -385 -160
404 -35 -380 -160
405 -35 -375 -160
406 -35 -370 -160
407 -35 -365 -160
408 -35 -360 -160
409 -35 -355 -160
410 -35 -350 -160
411 -35 -345 -160
412 -35 -340 -160
413 -35 -335 -160
414 -35 -330 -160
415 -35 -325 -160
416 -35 -320 -160
417 -35 -315 -160
418 -35 -310 -160
419 -35 -305 -160
420 -35 -300 -160
421 -35 -295 -160
422 -35 -290 -160
423 -35 -285 -160
424 -35 -280 -160
425 -35 -275 -160
426 -35 -270 -160
427 -35 -265 -160
428 -35 -260 -160
429 -35 -255 -160
430 -35 -250 -160
431 -35 -245 -160
432 -35 -240 -160
433 -35 -235 -160
434 -35 -230 -160
435 -35 -225 -160
436 -35 -220 -160
437 -35 -215 -160
438 -35 -210 -160
439 -35 -205 -160
440 -35 -200 -160
441 -35 -195 -160
442 -35 -190 -160
443 -35 -185 -160
444 -35 -180 -160
445 -35 -175 -160
446 -35 -170 -160
447 -35 -165 -160
448 -35 -160 -160
449 -35 -155 -160
450 -35 -150 -160
451 -35 -145 -160
452 -35 -140 -160
453 -35 -135 -160
454 -35 -130 -160
455 -35 -125 -160
456 -35 -120 -160
457 -35 -115 -160
458 -35 -110 -160
459 -35 -105 -160
460 -35 -100 -160
461 -35 -95 -160
462 -35 -90 -160
463 -35 -85 -160
464 -35 -80 -160
465 -35 -75 -160
466 -35 -70 -160
467 -35 -65 -160
468 -35 -60 -160
469 -35 -55 -160
470 -35 -50 -160
471 -35 -45 -160
472 -35 -40 -160
473 -35 -35 -160
474 -35 -30 -160
475 -35 -25 -160
476 -35 -20 -160
477 -35 -15 -160
478 -35 -10 -160
479 -35 -5 -160
480 -30 -1200 -160
481 -30 -1195 -160
482 -30 -1190 -160
483 -30 -1185 -160
484 -30 -1180 -160
485 -30 -1175 -160
486 -30 -1170 -160
487 -30 -1165 -160
488 -30 -1160 -160
489 -30 -1155 -160
490 -30 -1150 -160
491 -30 -1145 -160
492 -30 -1140 -160
493 -30 -1135 -160
494 -30 -1130 -160
495 -30 -1125 -160
496 -30 -1120 -160
497 -30 -1115 -160
498 -30 -1110 -160
499 -30 -1105 -160
500 -30 -1100 -160
501 -30 -1095 -160
502 -30 -1090 -160
503 -30 -1085 -160
504 -30 -1080 -160
505 -30 -1075 -160
506 -30 -1070 -160
507 -30 -1065 -160
508 -30 -1060 -160
509 -30 -1055 -160
510 -30 -1050 -160
511 -30 -1045 -160
512 -30 -1040 -160
513 -30 -1035 -160
514 -30 -1030 -160
515 -30 -1025 -160
516 -30 -1020 -160
517 -30 -1015 -160
518 -30 -1010 -160
519 -30 -1005 -160
520 -30 -1000 -160
521 -30 -995 -160
522 -30 -990 -160
523 -30 -985 -160
524 -30 -980 -160
525 -30 -975 -160
526 -30 -970 -160
527 -30 -965 -160
528 -30 -960 -160
529 -30 -955 -160
530 -30 -950 -160
531 -30 -945 -160
532 -30 -940 -160
533 -30 -935 -160
534 -30 -930 -160
535 -30 -925 -160
536 -30 -920 -160
537 -30 -915 -160
538 -30 -910 -160
539 -30 -905 -160
540 -30 -900 -160
541 -30 -895 -160
542 -30 -890 -160
543 -30 -885 -160
544 -30 -880 -160
545 -30 -875 -160
546 -30 -870 -160
547 -30 -865 -160
548 -30 -860 -160
549 -30 -855 -160
550 -30 -850 -160
551 -30 -845 -160
552 -30 -840 -160
553 -30 -835 -160
554 -30 -830 -160
555 -30 -825 -160
556 -30 -820 -160
557 -30 -815 -160
558 -30 -810 -160
559 -30 -805 -160
560 -30 -800 -160
561 -30 -795 -160
562 -30 -790 -160
563 -30 -785 -160
564 -30 -780 -160
565 -30 -775 -160
566 -30 -770 -160
567 -30 -765 -160
568 -30 -760 -160
569 -30 -755 -160
570 -30 -750 -160
571 -30 -745 -160
572 -30 -740 -160
573 -30 -735 -160
574 -30 -730 -160
575 -30 -725 -160
576 -30 -720 -160
577 -30 -715 -160
578 -30 -710 -160
579 -30 -705 -160
580 -30 -700 -160
581 -30 -695 -160
582 -30 -690 -160
583 -30 -685 -160
584 -30 -680 -160
585 -30 -675 -160
586 -30 -670 -160
587 -30 -665 -160
588 -30 -660 -160
589 -30 -655 -160
590 -30 -650 -160
591 -30 -645 -160
592 -30 -640 -160
593 -30 -635 -160
594 -30 -630 -160
595 -30 -625 -160
596 -30 -620 -160
597 -30 -615 -160
598 -30 -610 -160
599 -30 -605 -160
600 -30 -600 -160
601 -30 -595 -160
602 -30 -590 -160
603 -30 -585 -160
604 -30 -580 -160
605 -30 -575 -160
606 -30 -570 -160
607 -30 -565 -160
608 -30 -560 -160
609 -30 -555 -160
610 -30 -550 -160
611 -30 -545 -160
612 -30 -540 -160
613 -30 -535 -160
614 -30 -530 -160
615 -30 -525 -160
616 -30 -520 -160
617 -30 -515 -160
618 -30 -510 -160
619 -30 -505 -160
620 -30 -500 -160
621 -30 -495 -160
622 -30 -490 -160
623 -30 -485 -160
624 -30 -480 -160
625 -30 -475 -160
626 -30 -470 -160
627 -30 -465 -160
628 -30 -460 -160
629 -30 -455 -160
630 -30 -450 -160
631 -30 -445 -160
632 -30 -440 -160
633 -30 -435 -160
634 -30 -430 -160
635 -30 -425 -160
636 -30 -420 -160
637 -30 -415 -160
638 -30 -410 -160
639 -30 -405 -160
640 -30 -400 -160
641 -30 -395 -160
642 -30 -390 -160
643 -30 -385 -160
644 -30 -380 -160
645 -30 -375 -160
646 -30 -370 -160
647 -30 -365 -160
648 -30 -360 -160
649 -30 -355 -160
650 -30 -350 -160
651 -30 -345 -160
652 -30 -340 -160
653 -30 -335 -160
654 -30 -330 -160
655 -30 -325 -160
656 -30 -320 -160
657 -30 -315 -160
658 -30 -310 -160
659 -30 -305 -160
660 -30 -300 -160
661 -30 -295 -160
662 -30 -290 -160
663 -30 -285 -160
664 -30 -280 -160
665 -30 -275 -160
666 -30 -270 -160
667 -30 -265 -160
668 -30 -260 -160
669 -30 -255 -160
670 -30 -250 -160
671 -30 -245 -160
672 -30 -240 -160
673 -30 -235 -160
674 -30 -230 -160
675 -30 -225 -160
676 -30 -220 -160
677 -30 -215 -160
678 -30 -210 -160
679 -30 -205 -160
680 -30 -200 -160
681 -30 -195 -160
682 -30 -190 -160
683 -30 -185 -160
684 -30 -180 -160
685 -30 -175 -160
686 -30 -170 -160
687 -30 -165 -160
688 -30 -160 -160
689 -30 -155 -160
690 -30 -150 -160
691 -30 -145 -160
692 -30 -140 -160
693 -30 -135 -160
694 -30 -130 -160
695 -30 -125 -160
696 -30 -120 -160
697 -30 -115 -160
698 -30 -110 -160
699 -30 -105 -160
700 -30 -100 -160
701 -30 -95 -160
702 -30 -90 -160
703 -30 -85 -160
704 -30 -80 -160
705 -30 -75 -160
706 -30 -70 -160
707 -30 -65 -160
708 -30 -60 -160
709 -30 -55 -160
710 -30 -50 -160
711 -30 -45 -160
712 -30 -40 -160
713 -30 -35 -160
714 -30 -30 -160
715 -30 -25 -160
716 -30 -20 -160
717 -30 -15 -160
718 -30 -10 -160
719 -30 -5 -160
720 -25 -1200 -160
721 -25 -1195 -160
722 -25 -1190 -160
723 -25 -1185 -160
724 -25 -1180 -160
725 -25 -1175 -160
726 -25 -1170 -160
727 -25 -1165 -160
728 -25 -1160 -160
729 -25 -1155 -160
730 -25 -1150 -160
731 -25 -1145 -160
732 -25 -1140 -160
733 -25 -1135 -160
734 -25 -1130 -160
735 -25 -1125 -160
736 -25 -1120 -160
737 -25 -1115 -160
738 -25 -1110 -160
739 -25 -1105 -160
740 -25 -1100 -160
741 -25 -1095 -160
742 -25 -1090 -160
743 -25 -1085 -160
744 -25 -1080 -160
745 -25 -1075 -160
746 -25 -1070 -160
747 -25 -1065 -160
748 -25 -1060 -160
749 -25 -1055 -160
750 -25 -1050 -160
751 -25 -1045 -160
752 -25 -1040 -160
753 -25 -1035 -160
754 -25 -1030 -160
755 -25 -1025 -160
756 -25 -1020 -160
757 -25 -1015 -160
758 -25 -1010 -160
759 -25 -1005 -160
760 -25 -1000 -160
761 -25 -995 -160
762 -25 -990 -160
763 -25 -985 -160
764 -25 -980 -160
765 -25 -975 -160
766 -25 -970 -160
767 -25 -965 -160
768 -25 -960 -160
769 -25 -955 -160
770 -25 -950 -160
771 -25 -945 -160
772 -25 -940 -160
773 -25 -935 -160
774 -25 -930 -160
775 -25 -925 -160
776 -25 -920 -160
777 -25 -915 -160
778 -25 -910 -160
779 -25 -905 -160
780 -25 -900 -160
781 -25 -895 -160
782 -25 -890 -160
783 -25 -885 -160
784 -25 -880 -160
785 -25 -875 -160
786 -25 -870 -160
787 -25 -865 -160
788 -25 -860 -160
789 -25 -855 -160
790 -25 -850 -160
791 -25 -845 -160
792 -25 -840 -160
793 -25 -835 -160
794 -25 -830 -160
795 -25 -825 -160
796 -25 -820 -160
797 -25 -815 -160
798 -25 -810 -160
799 -25 -805 -160
800 -25 -800 -160
801 -25 -795 -160
802 -25 -790 -160
803 -25 -785 -160
804 -25 -780 -160
805 -25 -775 -160
806 -25 -770 -160
807 -25 -765 -160
808 -25 -760 -160
809 -25 -755 -160
810 -25 -750 -160
811 -25 -745 -160
812 -25 -740 -160
813 -25 -735 -160
814 -25 -730 -160
815 -25 -725 -160
816 -25 -720 -160
817 -25 -715 -160
818 -25 -710 -160
819 -25 -705 -160
820 -25 -700 -160
821 -25 -695 -160
822 -25 -690 -160
823 -25 -685 -160
824 -25 -680 -160
825 -25 -675 -160
826 -25 -670 -160
827 -25 -665 -160
828 -25 -660 -160
829 -25 -655 -160
830 -25 -650 -160
831 -25 -645 -160
832 -25 -640 -160
833 -25 -635 -160
834 -25 -630 -160
835 -25 -625 -160
836 -25 -620 -160
837 -25 -615 -160
838 -25 -610 -160
839 -25 -605 -160
840 -25 -600 -160
841 -25 -595 -160
842 -25 -590 -160
843 -25 -585 -160
844 -25 -580 -160
845 -25 -575 -160
846 -25 -570 -160
847 -25 -565 -160
848 -25 -560 -160
849 -25 -555 -160
850 -25 -550 -160
851 -25 -545 -160
852 -25 -540 -160
853 -25 -535 -160
854 -25 -530 -160
855 -25 -525 -160
856 -25 -520 -160
857 -25 -515 -160
858 -25 -510 -160
859 -25 -505 -160
860 -25 -500 -160
861 -25 -495 -160
862 -25 -490 -160
863 -25 -485 -160
864 -25 -480 -160
865 -25 -475 -160
866 -25 -470 -160
867 -25 -465 -160
868 -25 -460 -160
869 -25 -455 -160
870 -25 -450 -160
871 -25 -445 -160
872 -25 -440 -160
873 -25 -435 -160
